algorithm_no,algorithm,family,notion_legacy_implementation_status,notion_architecture_status,notion_legacy_existing_files,notion_scientific_validation,src000_movefuel2_status,src001_movefule1_status,src001_present_paths,src001_missing_paths,src002_older_zip_status,src003_additional_status,src004_g_latest_status,final_disposition,canonical_path,notes
49,Recipe Ingredient Resolver,Search + Recipe + Meal Planning,Partial,Planned,services/backend/src/nutrition/identity/foodResolver.ts; services/backend/src/nutrition/identity/knowledgeNutritionResolver.ts; services/backend/src/nutrition/identity/reviewedRecipeCalculator.ts,Needs validation,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,LEGACY_PATHS_PRESENT,services/backend/src/nutrition/identity/foodResolver.ts; services/backend/src/nutrition/identity/knowledgeNutritionResolver.ts; services/backend/src/nutrition/identity/reviewedRecipeCalculator.ts,,WAITING_ZIP,OPTIONAL_WAITING,WAITING_ZIP,UNDECIDED,,SRC-001 status is structural path evidence only; semantic correctness is not yet judged.
50,Recipe Nutrient Calculator,Search + Recipe + Meal Planning,Implemented,Planned,services/backend/src/nutrition/identity/reviewedRecipeCalculator.ts; services/backend/src/nutrition/nutrients/nutrientCalculator.ts,Needs validation,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,LEGACY_PATHS_PRESENT,services/backend/src/nutrition/identity/reviewedRecipeCalculator.ts; services/backend/src/nutrition/nutrients/nutrientCalculator.ts,,WAITING_ZIP,OPTIONAL_WAITING,WAITING_ZIP,UNDECIDED,,SRC-001 status is structural path evidence only; semantic correctness is not yet judged.
51,Recipe Serving Scaler,Search + Recipe + Meal Planning,Implemented,Planned,services/backend/src/nutrition/identity/reviewedRecipeCalculator.ts,Needs validation,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,LEGACY_PATHS_PRESENT,services/backend/src/nutrition/identity/reviewedRecipeCalculator.ts,,WAITING_ZIP,OPTIONAL_WAITING,WAITING_ZIP,UNDECIDED,,SRC-001 status is structural path evidence only; semantic correctness is not yet judged.
52,Web / Video Recipe Extraction Resolver,Search + Recipe + Meal Planning,Planned only,Planned,No current-branch web/video recipe extraction resolver evidenced in inspected production nutrition/meal code.,Needs validation,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,NO_LEGACY_PATH_HINT,,,WAITING_ZIP,OPTIONAL_WAITING,WAITING_ZIP,UNDECIDED,,SRC-001 status is structural path evidence only; semantic correctness is not yet judged.
53,Meal Plan Generator,Search + Recipe + Meal Planning,Planned only,Planned,services/backend/src/diet-intelligence/diet-plan-service.ts is advisory only; no prescriptive multi-meal plan generator evidenced.,Needs validation,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,LEGACY_PATHS_NOT_FOUND,,services/backend/src/diet-intelligence/diet-plan-service.ts is advisory only,WAITING_ZIP,OPTIONAL_WAITING,WAITING_ZIP,UNDECIDED,,SRC-001 status is structural path evidence only; semantic correctness is not yet judged.
54,Budget-Aware Meal Planner,Search + Recipe + Meal Planning,Planned only,Planned,"Nutrition profile stores budgetBand/pantry context, but no budget-aware meal-plan optimizer was evidenced.",Not applicable,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,NO_LEGACY_PATH_HINT,,,WAITING_ZIP,OPTIONAL_WAITING,WAITING_ZIP,UNDECIDED,,SRC-001 status is structural path evidence only; semantic correctness is not yet judged.
55,Country / Region / Cuisine Matcher,Search + Recipe + Meal Planning,Partial,Planned,services/backend/src/diet-intelligence/profile-policy.ts; services/backend/src/nutrition/identity/regionalIdentity.ts; services/backend/src/nutrition/identity/reviewedRecipeCalculator.ts,Needs validation,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,LEGACY_PATHS_PRESENT,services/backend/src/diet-intelligence/profile-policy.ts; services/backend/src/nutrition/identity/regionalIdentity.ts; services/backend/src/nutrition/identity/reviewedRecipeCalculator.ts,,WAITING_ZIP,OPTIONAL_WAITING,WAITING_ZIP,UNDECIDED,,SRC-001 status is structural path evidence only; semantic correctness is not yet judged.
56,Grocery List Aggregator,Search + Recipe + Meal Planning,Planned only,Planned,No grocery-list aggregation subsystem evidenced in inspected current branch.,Not applicable,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,NO_LEGACY_PATH_HINT,,,WAITING_ZIP,OPTIONAL_WAITING,WAITING_ZIP,UNDECIDED,,SRC-001 status is structural path evidence only; semantic correctness is not yet judged.
57,Meal Timing Planner,Search + Recipe + Meal Planning,Planned only,Planned,"services/backend/src/diet-intelligence/profile-policy.ts models mealTimingPreferenceCodes, but no dedicated meal timing planner/placement engine was evidenced.",Needs validation,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,LEGACY_PATHS_NOT_FOUND,,"services/backend/src/diet-intelligence/profile-policy.ts models mealTimingPreferenceCodes, but no dedicated meal timing planner/placement engine was evidenced.",WAITING_ZIP,OPTIONAL_WAITING,WAITING_ZIP,UNDECIDED,,SRC-001 status is structural path evidence only; semantic correctness is not yet judged.
58,Adult Fasting Eligibility & Session-State Algorithm,Search + Recipe + Meal Planning,Planned only,Planned,services/backend/src/foundation/target-eligibility-policy.ts contains age/restrictive-goal policy gates; no fasting-session lifecycle/state engine was evidenced in current branch.,Needs validation,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,LEGACY_PATHS_NOT_FOUND,,services/backend/src/foundation/target-eligibility-policy.ts contains age/restrictive-goal policy gates,WAITING_ZIP,OPTIONAL_WAITING,WAITING_ZIP,UNDECIDED,,SRC-001 status is structural path evidence only; semantic correctness is not yet judged.
59,Training Goal Classifier,Training Core,Partial,Planned,algorithms/training/src/profile.ts; algorithms/training/src/program-engine.ts; algorithms/training/src/training-engine.ts,Needs validation,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,LEGACY_PATHS_PRESENT,algorithms/training/src/profile.ts; algorithms/training/src/program-engine.ts; algorithms/training/src/training-engine.ts,,WAITING_ZIP,OPTIONAL_WAITING,WAITING_ZIP,UNDECIDED,,SRC-001 status is structural path evidence only; semantic correctness is not yet judged.
60,Sport / Modality Router,Training Core,Partial,Planned,algorithms/training/src/program-engine.ts; algorithms/training/src/training-engine.ts,Needs validation,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,LEGACY_PATHS_PRESENT,algorithms/training/src/program-engine.ts; algorithms/training/src/training-engine.ts,,WAITING_ZIP,OPTIONAL_WAITING,WAITING_ZIP,UNDECIDED,,SRC-001 status is structural path evidence only; semantic correctness is not yet judged.
61,Exercise Safety & Eligibility Filter,Training Core,Implemented,Planned,algorithms/training/src/policy.ts; algorithms/training/src/readiness.ts,Needs validation,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,LEGACY_PATHS_PRESENT,algorithms/training/src/policy.ts; algorithms/training/src/readiness.ts,,WAITING_ZIP,OPTIONAL_WAITING,WAITING_ZIP,UNDECIDED,,SRC-001 status is structural path evidence only; semantic correctness is not yet judged.
62,Exercise Selection / Ranking Algorithm,Training Core,Implemented,Planned,algorithms/training/src/scoring.ts; algorithms/training/src/policy.ts; algorithms/training/src/training-engine.ts,Needs validation,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,LEGACY_PATHS_PRESENT,algorithms/training/src/scoring.ts; algorithms/training/src/policy.ts; algorithms/training/src/training-engine.ts,,WAITING_ZIP,OPTIONAL_WAITING,WAITING_ZIP,UNDECIDED,,SRC-001 status is structural path evidence only; semantic correctness is not yet judged.
63,Equipment Compatibility Filter,Training Core,Implemented,Planned,algorithms/training/src/policy.ts; algorithms/training/src/profile.ts,Not applicable,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,LEGACY_PATHS_PRESENT,algorithms/training/src/policy.ts; algorithms/training/src/profile.ts,,WAITING_ZIP,OPTIONAL_WAITING,WAITING_ZIP,UNDECIDED,,SRC-001 status is structural path evidence only; semantic correctness is not yet judged.
64,Exercise Substitution Algorithm,Training Core,Partial,Planned,algorithms/training/src/session-generator.ts; algorithms/training/src/catalog.ts,Needs validation,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,LEGACY_PATHS_PRESENT,algorithms/training/src/session-generator.ts; algorithms/training/src/catalog.ts,,WAITING_ZIP,OPTIONAL_WAITING,WAITING_ZIP,UNDECIDED,,SRC-001 status is structural path evidence only; semantic correctness is not yet judged.
65,Time-Aware Session Sizer,Training Core,Implemented,Planned,algorithms/training/src/session-requirement.ts; algorithms/training/src/session-generator.ts,Needs validation,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,LEGACY_PATHS_PRESENT,algorithms/training/src/session-requirement.ts; algorithms/training/src/session-generator.ts,,WAITING_ZIP,OPTIONAL_WAITING,WAITING_ZIP,UNDECIDED,,SRC-001 status is structural path evidence only; semantic correctness is not yet judged.
66,Workout Session Generator,Training Core,Implemented,Planned,algorithms/training/src/session-generator.ts; algorithms/training/src/session-requirement.ts; algorithms/training/src/training-engine.ts,Needs validation,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,LEGACY_PATHS_PRESENT,algorithms/training/src/session-generator.ts; algorithms/training/src/session-requirement.ts; algorithms/training/src/training-engine.ts,,WAITING_ZIP,OPTIONAL_WAITING,WAITING_ZIP,UNDECIDED,,SRC-001 status is structural path evidence only; semantic correctness is not yet judged.
67,Training Program Generator,Training Core,Implemented,Planned,algorithms/training/src/training-engine.ts; algorithms/training/src/program-engine.ts; algorithms/training/src/program-state.ts,Needs validation,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,LEGACY_PATHS_PRESENT,algorithms/training/src/training-engine.ts; algorithms/training/src/program-engine.ts; algorithms/training/src/program-state.ts,,WAITING_ZIP,OPTIONAL_WAITING,WAITING_ZIP,UNDECIDED,,SRC-001 status is structural path evidence only; semantic correctness is not yet judged.
68,Readiness State Engine,Training Core,Implemented,Planned,algorithms/training/src/readiness.ts; algorithms/training/src/training-engine.ts,Needs validation,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,LEGACY_PATHS_PRESENT,algorithms/training/src/readiness.ts; algorithms/training/src/training-engine.ts,,WAITING_ZIP,OPTIONAL_WAITING,WAITING_ZIP,UNDECIDED,,SRC-001 status is structural path evidence only; semantic correctness is not yet judged.
69,Muscle Recovery / Fatigue Estimator,Training Core,Partial,Planned,algorithms/training/src/readiness.ts; algorithms/training/src/program-state.ts,Needs validation,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,LEGACY_PATHS_PRESENT,algorithms/training/src/readiness.ts; algorithms/training/src/program-state.ts,,WAITING_ZIP,OPTIONAL_WAITING,WAITING_ZIP,UNDECIDED,,SRC-001 status is structural path evidence only; semantic correctness is not yet judged.
70,Training Workload Estimator,Training Core,Partial,Planned,algorithms/training/src/readiness.ts; algorithms/training/src/program-state.ts,Needs validation,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,LEGACY_PATHS_PRESENT,algorithms/training/src/readiness.ts; algorithms/training/src/program-state.ts,,WAITING_ZIP,OPTIONAL_WAITING,WAITING_ZIP,UNDECIDED,,SRC-001 status is structural path evidence only; semantic correctness is not yet judged.
71,Progression Decision Engine,Training Core,Implemented,Planned,algorithms/training/src/progression.ts,Needs validation,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,LEGACY_PATHS_PRESENT,algorithms/training/src/progression.ts,,WAITING_ZIP,OPTIONAL_WAITING,WAITING_ZIP,UNDECIDED,,SRC-001 status is structural path evidence only; semantic correctness is not yet judged.
72,Load / Rep Recommendation Engine,Training Core,Partial,Planned,algorithms/training/src/progression.ts; algorithms/training/src/session-generator.ts,Needs validation,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,LEGACY_PATHS_PRESENT,algorithms/training/src/progression.ts; algorithms/training/src/session-generator.ts,,WAITING_ZIP,OPTIONAL_WAITING,WAITING_ZIP,UNDECIDED,,SRC-001 status is structural path evidence only; semantic correctness is not yet judged.
73,Deload / Adaptation Engine,Training Core,Partial,Planned,algorithms/training/src/readiness.ts; algorithms/training/src/missed-workout.ts; algorithms/training/src/progression.ts; algorithms/training/src/calendar-adaptation.ts,Needs validation,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,LEGACY_PATHS_PRESENT,algorithms/training/src/readiness.ts; algorithms/training/src/missed-workout.ts; algorithms/training/src/progression.ts; algorithms/training/src/calendar-adaptation.ts,,WAITING_ZIP,OPTIONAL_WAITING,WAITING_ZIP,UNDECIDED,,SRC-001 status is structural path evidence only; semantic correctness is not yet judged.
74,Exercise Preference / Exclusion Ranker,Training Core,Implemented,Planned,algorithms/training/src/profile.ts; algorithms/training/src/policy.ts; algorithms/training/src/scoring.ts,Not applicable,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,LEGACY_PATHS_PRESENT,algorithms/training/src/profile.ts; algorithms/training/src/policy.ts; algorithms/training/src/scoring.ts,,WAITING_ZIP,OPTIONAL_WAITING,WAITING_ZIP,UNDECIDED,,SRC-001 status is structural path evidence only; semantic correctness is not yet judged.
75,Missed Workout Reconciler,Training Core,Implemented,Planned,algorithms/training/src/missed-workout.ts; algorithms/training/src/calendar-adaptation.ts,Needs validation,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,LEGACY_PATHS_PRESENT,algorithms/training/src/missed-workout.ts; algorithms/training/src/calendar-adaptation.ts,,WAITING_ZIP,OPTIONAL_WAITING,WAITING_ZIP,UNDECIDED,,SRC-001 status is structural path evidence only; semantic correctness is not yet judged.
76,Workout Performance Reconciler,Training Core,Implemented,Planned,services/backend/src/sync/canonical-workout-reconciler.ts; services/backend/src/sync/appwrite-workout-store.ts,Not applicable,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,LEGACY_PATHS_PRESENT,services/backend/src/sync/canonical-workout-reconciler.ts; services/backend/src/sync/appwrite-workout-store.ts,,WAITING_ZIP,OPTIONAL_WAITING,WAITING_ZIP,UNDECIDED,,SRC-001 status is structural path evidence only; semantic correctness is not yet judged.
77,Warm-Up Generator,Training Core,Planned only,Planned,No dedicated warm-up generator evidenced in inspected training core.,Needs validation,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,NO_LEGACY_PATH_HINT,,,WAITING_ZIP,OPTIONAL_WAITING,WAITING_ZIP,UNDECIDED,,SRC-001 status is structural path evidence only; semantic correctness is not yet judged.
78,Cool-Down Generator,Training Core,Planned only,Planned,No dedicated cool-down generator evidenced in inspected training core.,Needs validation,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,NO_LEGACY_PATH_HINT,,,WAITING_ZIP,OPTIONAL_WAITING,WAITING_ZIP,UNDECIDED,,SRC-001 status is structural path evidence only; semantic correctness is not yet judged.
79,Strength Training Planner,Sports,Partial,Planned,algorithms/training/src/program-engine.ts; algorithms/training/src/session-generator.ts; algorithms/training/src/progression.ts,Needs validation,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,LEGACY_PATHS_PRESENT,algorithms/training/src/program-engine.ts; algorithms/training/src/session-generator.ts; algorithms/training/src/progression.ts,,WAITING_ZIP,OPTIONAL_WAITING,WAITING_ZIP,UNDECIDED,,SRC-001 status is structural path evidence only; semantic correctness is not yet judged.
80,Hypertrophy / Muscle-Emphasis Planner,Sports,Partial,Planned,algorithms/training/src/program-engine.ts; algorithms/training/src/scoring.ts; algorithms/training/src/session-generator.ts,Needs validation,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,LEGACY_PATHS_PRESENT,algorithms/training/src/program-engine.ts; algorithms/training/src/scoring.ts; algorithms/training/src/session-generator.ts,,WAITING_ZIP,OPTIONAL_WAITING,WAITING_ZIP,UNDECIDED,,SRC-001 status is structural path evidence only; semantic correctness is not yet judged.
81,Running / Endurance Planner,Sports,Partial,Planned,algorithms/training/src/program-engine.ts; algorithms/training/src/session-requirement.ts; algorithms/training/src/session-generator.ts,Needs validation,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,LEGACY_PATHS_PRESENT,algorithms/training/src/program-engine.ts; algorithms/training/src/session-requirement.ts; algorithms/training/src/session-generator.ts,,WAITING_ZIP,OPTIONAL_WAITING,WAITING_ZIP,UNDECIDED,,SRC-001 status is structural path evidence only; semantic correctness is not yet judged.
82,Swimming Planner,Sports,Planned only,Planned,No dedicated swimming planner evidenced in inspected current branch.,Needs validation,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,NO_LEGACY_PATH_HINT,,,WAITING_ZIP,OPTIONAL_WAITING,WAITING_ZIP,UNDECIDED,,SRC-001 status is structural path evidence only; semantic correctness is not yet judged.
83,Football / Soccer Performance Planner,Sports,Planned only,Planned,No dedicated football/soccer performance planner evidenced in inspected current branch.,Needs validation,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,NO_LEGACY_PATH_HINT,,,WAITING_ZIP,OPTIONAL_WAITING,WAITING_ZIP,UNDECIDED,,SRC-001 status is structural path evidence only; semantic correctness is not yet judged.
84,Yoga Planner,Sports,Planned only,Planned,No dedicated yoga planner evidenced in inspected current branch.,Needs validation,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,NO_LEGACY_PATH_HINT,,,WAITING_ZIP,OPTIONAL_WAITING,WAITING_ZIP,UNDECIDED,,SRC-001 status is structural path evidence only; semantic correctness is not yet judged.
85,Mobility Planner,Sports,Planned only,Planned,No dedicated mobility planner evidenced in inspected current branch.,Needs validation,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,NO_LEGACY_PATH_HINT,,,WAITING_ZIP,OPTIONAL_WAITING,WAITING_ZIP,UNDECIDED,,SRC-001 status is structural path evidence only; semantic correctness is not yet judged.
86,General Cardio Planner,Sports,Partial,Planned,algorithms/training/src/program-engine.ts; algorithms/training/src/session-requirement.ts; algorithms/training/src/session-generator.ts,Needs validation,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,LEGACY_PATHS_PRESENT,algorithms/training/src/program-engine.ts; algorithms/training/src/session-requirement.ts; algorithms/training/src/session-generator.ts,,WAITING_ZIP,OPTIONAL_WAITING,WAITING_ZIP,UNDECIDED,,SRC-001 status is structural path evidence only; semantic correctness is not yet judged.
87,Competition Taper / Peaking Planner,Sports,Planned only,Planned,No dedicated competition taper/peaking planner evidenced in inspected current branch.,Needs validation,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,NO_LEGACY_PATH_HINT,,,WAITING_ZIP,OPTIONAL_WAITING,WAITING_ZIP,UNDECIDED,,SRC-001 status is structural path evidence only; semantic correctness is not yet judged.
88,Cross-Training Interference Manager,Sports,Planned only,Planned,No dedicated cross-training interference manager evidenced in inspected current branch.,Needs validation,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,NO_LEGACY_PATH_HINT,,,WAITING_ZIP,OPTIONAL_WAITING,WAITING_ZIP,UNDECIDED,,SRC-001 status is structural path evidence only; semantic correctness is not yet judged.
89,Availability Normalizer,Calendar + Today,,Planned,,,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,NO_LEGACY_PATH_HINT,,,WAITING_ZIP,OPTIONAL_WAITING,WAITING_ZIP,UNDECIDED,,SRC-001 status is structural path evidence only; semantic correctness is not yet judged.
90,Calendar Constraint Solver,Calendar + Today,,Planned,,,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,NO_LEGACY_PATH_HINT,,,WAITING_ZIP,OPTIONAL_WAITING,WAITING_ZIP,UNDECIDED,,SRC-001 status is structural path evidence only; semantic correctness is not yet judged.
91,Workout Placement Optimizer,Calendar + Today,,Planned,,,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,NO_LEGACY_PATH_HINT,,,WAITING_ZIP,OPTIONAL_WAITING,WAITING_ZIP,UNDECIDED,,SRC-001 status is structural path evidence only; semantic correctness is not yet judged.
92,Recovery Spacing Optimizer,Calendar + Today,,Planned,,,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,NO_LEGACY_PATH_HINT,,,WAITING_ZIP,OPTIONAL_WAITING,WAITING_ZIP,UNDECIDED,,SRC-001 status is structural path evidence only; semantic correctness is not yet judged.
93,Meal Timing Placement Optimizer,Calendar + Today,,Planned,,,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,NO_LEGACY_PATH_HINT,,,WAITING_ZIP,OPTIONAL_WAITING,WAITING_ZIP,UNDECIDED,,SRC-001 status is structural path evidence only; semantic correctness is not yet judged.
94,Calendar Conflict Resolver,Calendar + Today,,Planned,,,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,NO_LEGACY_PATH_HINT,,,WAITING_ZIP,OPTIONAL_WAITING,WAITING_ZIP,UNDECIDED,,SRC-001 status is structural path evidence only; semantic correctness is not yet judged.
95,Calendar Stale-Revision Reconciler,Calendar + Today,,Planned,,,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,NO_LEGACY_PATH_HINT,,,WAITING_ZIP,OPTIONAL_WAITING,WAITING_ZIP,UNDECIDED,,SRC-001 status is structural path evidence only; semantic correctness is not yet judged.
96,Today Candidate Validator,Calendar + Today,,Planned,,,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,NO_LEGACY_PATH_HINT,,,WAITING_ZIP,OPTIONAL_WAITING,WAITING_ZIP,UNDECIDED,,SRC-001 status is structural path evidence only; semantic correctness is not yet judged.
97,Today Next-Best-Action Ranker,Calendar + Today,,Planned,,,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,NO_LEGACY_PATH_HINT,,,WAITING_ZIP,OPTIONAL_WAITING,WAITING_ZIP,UNDECIDED,,SRC-001 status is structural path evidence only; semantic correctness is not yet judged.
98,Today Stale / Unknown Suppression Algorithm,Calendar + Today,,Planned,,,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,NO_LEGACY_PATH_HINT,,,WAITING_ZIP,OPTIONAL_WAITING,WAITING_ZIP,UNDECIDED,,SRC-001 status is structural path evidence only; semantic correctness is not yet judged.
99,Goal-Aware Progress Mode Selector,Progress + Behavior,,Planned,,,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,NO_LEGACY_PATH_HINT,,,WAITING_ZIP,OPTIONAL_WAITING,WAITING_ZIP,UNDECIDED,,SRC-001 status is structural path evidence only; semantic correctness is not yet judged.
100,Strength Progress Calculator,Progress + Behavior,,Planned,,,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,NO_LEGACY_PATH_HINT,,,WAITING_ZIP,OPTIONAL_WAITING,WAITING_ZIP,UNDECIDED,,SRC-001 status is structural path evidence only; semantic correctness is not yet judged.
101,Swimming Progress Calculator,Progress + Behavior,,Planned,,,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,NO_LEGACY_PATH_HINT,,,WAITING_ZIP,OPTIONAL_WAITING,WAITING_ZIP,UNDECIDED,,SRC-001 status is structural path evidence only; semantic correctness is not yet judged.
102,Running / Endurance Progress Calculator,Progress + Behavior,,Planned,,,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,NO_LEGACY_PATH_HINT,,,WAITING_ZIP,OPTIONAL_WAITING,WAITING_ZIP,UNDECIDED,,SRC-001 status is structural path evidence only; semantic correctness is not yet judged.
103,Yoga / Mobility Progress Calculator,Progress + Behavior,,Planned,,,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,NO_LEGACY_PATH_HINT,,,WAITING_ZIP,OPTIONAL_WAITING,WAITING_ZIP,UNDECIDED,,SRC-001 status is structural path evidence only; semantic correctness is not yet judged.
104,Nutrition Adherence / Trend Calculator,Progress + Behavior,,Planned,,,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,NO_LEGACY_PATH_HINT,,,WAITING_ZIP,OPTIONAL_WAITING,WAITING_ZIP,UNDECIDED,,SRC-001 status is structural path evidence only; semantic correctness is not yet judged.
105,Recovery / Sleep Trend Calculator,Progress + Behavior,,Planned,,,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,NO_LEGACY_PATH_HINT,,,WAITING_ZIP,OPTIONAL_WAITING,WAITING_ZIP,UNDECIDED,,SRC-001 status is structural path evidence only; semantic correctness is not yet judged.
106,Weight Trend Smoother,Progress + Behavior,,Planned,,,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,NO_LEGACY_PATH_HINT,,,WAITING_ZIP,OPTIONAL_WAITING,WAITING_ZIP,UNDECIDED,,SRC-001 status is structural path evidence only; semantic correctness is not yet judged.
107,Measurement Trend Calculator,Progress + Behavior,,Planned,,,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,NO_LEGACY_PATH_HINT,,,WAITING_ZIP,OPTIONAL_WAITING,WAITING_ZIP,UNDECIDED,,SRC-001 status is structural path evidence only; semantic correctness is not yet judged.
108,Weekly Report Generator,Progress + Behavior,,Planned,,,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,NO_LEGACY_PATH_HINT,,,WAITING_ZIP,OPTIONAL_WAITING,WAITING_ZIP,UNDECIDED,,SRC-001 status is structural path evidence only; semantic correctness is not yet judged.
109,Monthly Report Generator,Progress + Behavior,,Planned,,,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,NO_LEGACY_PATH_HINT,,,WAITING_ZIP,OPTIONAL_WAITING,WAITING_ZIP,UNDECIDED,,SRC-001 status is structural path evidence only; semantic correctness is not yet judged.
110,Data Quality / Anomaly Detector,Progress + Behavior,,Planned,,,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,NO_LEGACY_PATH_HINT,,,WAITING_ZIP,OPTIONAL_WAITING,WAITING_ZIP,UNDECIDED,,SRC-001 status is structural path evidence only; semantic correctness is not yet judged.
111,Weekly Check-In Question Selector,Progress + Behavior,,Planned,,,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,NO_LEGACY_PATH_HINT,,,WAITING_ZIP,OPTIONAL_WAITING,WAITING_ZIP,UNDECIDED,,SRC-001 status is structural path evidence only; semantic correctness is not yet judged.
112,Logging Break Detector,Progress + Behavior,,Planned,,,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,NO_LEGACY_PATH_HINT,,,WAITING_ZIP,OPTIONAL_WAITING,WAITING_ZIP,UNDECIDED,,SRC-001 status is structural path evidence only; semantic correctness is not yet judged.
113,Missed Workout Reason Classifier,Progress + Behavior,,Planned,,,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,NO_LEGACY_PATH_HINT,,,WAITING_ZIP,OPTIONAL_WAITING,WAITING_ZIP,UNDECIDED,,SRC-001 status is structural path evidence only; semantic correctness is not yet judged.
114,Schedule Friction Detector,Progress + Behavior,,Planned,,,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,NO_LEGACY_PATH_HINT,,,WAITING_ZIP,OPTIONAL_WAITING,WAITING_ZIP,UNDECIDED,,SRC-001 status is structural path evidence only; semantic correctness is not yet judged.
115,Adherence Pattern Analyzer,Progress + Behavior,,Planned,,,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,NO_LEGACY_PATH_HINT,,,WAITING_ZIP,OPTIONAL_WAITING,WAITING_ZIP,UNDECIDED,,SRC-001 status is structural path evidence only; semantic correctness is not yet judged.
