id,algorithm,domain,phase,old_status,new_status,import_decision,current_files,entry,tests
84,Yoga Planner,Sport-specific,P2,NOT_FOUND,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,MISSING_IMPLEMENT,No reliable source evidence,—,No direct test
85,Mobility Planner,Sport-specific,P2,PARTIAL,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,IMPORT_AND_CLOSE_GAP,algorithms/training/src/contracts.ts; program-engine.ts; session-requirement.ts,generic training engine only; no sport-specific dispatcher,services/backend/src/tests/training/*; simulation/progression
86,General Cardio Planner,Sport-specific,P2,PARTIAL,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,IMPORT_AND_CLOSE_GAP,algorithms/training/src/contracts.ts; program-engine.ts; session-requirement.ts,generic training engine only; no sport-specific dispatcher,services/backend/src/tests/training/*; simulation/progression
87,Competition Taper / Peaking Planner,Sport-specific,P2,NOT_FOUND,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,MISSING_IMPLEMENT,No reliable source evidence,—,No direct test
88,Cross-Training Interference Manager,Sport-specific,P2,PARTIAL,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,IMPORT_AND_CLOSE_GAP,algorithms/training/src/contracts.ts; program-engine.ts; session-requirement.ts,generic training engine only; no sport-specific dispatcher,services/backend/src/tests/training/*; simulation/progression
89,Availability Normalizer,Calendar / Today,P0,IMPLEMENTED,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,IMPORT,services/backend/src/calendar/; services/backend/src/training/calendar-adaptation-requester.ts; services/backend/src/today/,calendar-service / calendar adaptation / sync revision paths,services/backend/src/tests/calendar/*; today/*
90,Calendar Constraint Solver,Calendar / Today,P0,IMPLEMENTED,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,IMPORT,services/backend/src/calendar/; services/backend/src/training/calendar-adaptation-requester.ts; services/backend/src/today/,calendar-service / calendar adaptation / sync revision paths,services/backend/src/tests/calendar/*; today/*
91,Workout Placement Optimizer,Calendar / Today,P0,IMPLEMENTED,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,IMPORT,services/backend/src/calendar/; services/backend/src/training/calendar-adaptation-requester.ts; services/backend/src/today/,calendar-service / calendar adaptation / sync revision paths,services/backend/src/tests/calendar/*; today/*
92,Recovery Spacing Optimizer,Calendar / Today,P0,PARTIAL,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,IMPORT_AND_CLOSE_GAP,services/backend/src/calendar/; services/backend/src/training/calendar-adaptation-requester.ts; services/backend/src/today/,calendar-service / calendar adaptation / sync revision paths,services/backend/src/tests/calendar/*; today/*
93,Meal Timing Placement Optimizer,Calendar / Today,P0,PARTIAL,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,IMPORT_AND_CLOSE_GAP,services/backend/src/calendar/; services/backend/src/training/calendar-adaptation-requester.ts; services/backend/src/today/,calendar-service / calendar adaptation / sync revision paths,services/backend/src/tests/calendar/*; today/*
94,Calendar Conflict Resolver,Calendar / Today,P0,IMPLEMENTED,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,IMPORT,services/backend/src/calendar/; services/backend/src/training/calendar-adaptation-requester.ts; services/backend/src/today/,calendar-service / calendar adaptation / sync revision paths,services/backend/src/tests/calendar/*; today/*
95,Calendar Stale-Revision Reconciler,Calendar / Today,P0,IMPLEMENTED,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,IMPORT,services/backend/src/calendar/; services/backend/src/training/calendar-adaptation-requester.ts; services/backend/src/today/,calendar-service / calendar adaptation / sync revision paths,services/backend/src/tests/calendar/*; today/*
96,Today Candidate Validator,Calendar / Today,P0,IMPLEMENTED,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,IMPORT,services/backend/src/calendar/; services/backend/src/training/calendar-adaptation-requester.ts; services/backend/src/today/,today service / decision-orchestrator / projection,services/backend/src/tests/calendar/*; today/*
97,Today Next-Best-Action Ranker,Calendar / Today,P0,IMPLEMENTED,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,IMPORT,services/backend/src/calendar/; services/backend/src/training/calendar-adaptation-requester.ts; services/backend/src/today/,today service / decision-orchestrator / projection,services/backend/src/tests/calendar/*; today/*
98,Today Stale / Unknown Suppression Algorithm,Calendar / Today,P0,IMPLEMENTED,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,IMPORT,services/backend/src/calendar/; services/backend/src/training/calendar-adaptation-requester.ts; services/backend/src/today/,today service / decision-orchestrator / projection,services/backend/src/tests/calendar/*; today/*
99,Goal-Aware Progress Mode Selector,Progress / reports,P0,IMPLEMENTED,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,IMPORT,services/backend/src/progress/progress.ts; report/; apps/android/.../feature/progress/,buildProgressEnvelope / reportSnapshotFromProgress,services/backend/src/tests/progress/*; report/*; Android Progress/Wellness tests
100,Strength Progress Calculator,Progress / reports,P0,PARTIAL,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,IMPORT_AND_CLOSE_GAP,services/backend/src/progress/progress.ts; report/; apps/android/.../feature/progress/,buildProgressEnvelope / reportSnapshotFromProgress,services/backend/src/tests/progress/*; report/*; Android Progress/Wellness tests
101,Swimming Progress Calculator,Progress / reports,P1,NOT_FOUND,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,MISSING_IMPLEMENT,No reliable source evidence,—,No direct test
102,Running / Endurance Progress Calculator,Progress / reports,P1,NOT_FOUND,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,MISSING_IMPLEMENT,No reliable source evidence,—,No direct test
103,Yoga / Mobility Progress Calculator,Progress / reports,P1,NOT_FOUND,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,MISSING_IMPLEMENT,No reliable source evidence,—,No direct test
104,Nutrition Adherence / Trend Calculator,Progress / reports,P1,IMPLEMENTED,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,IMPORT,services/backend/src/progress/progress.ts; report/; apps/android/.../feature/progress/,buildProgressEnvelope / reportSnapshotFromProgress,services/backend/src/tests/progress/*; report/*; Android Progress/Wellness tests
105,Recovery / Sleep Trend Calculator,Progress / reports,P1,PARTIAL,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,IMPORT_AND_CLOSE_GAP,services/backend/src/progress/progress.ts; report/; apps/android/.../feature/progress/,buildProgressEnvelope / reportSnapshotFromProgress,services/backend/src/tests/progress/*; report/*; Android Progress/Wellness tests
106,Weight Trend Smoother,Progress / reports,P1,IMPLEMENTED,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,IMPORT,services/backend/src/progress/progress.ts; report/; apps/android/.../feature/progress/,buildProgressEnvelope / reportSnapshotFromProgress,services/backend/src/tests/progress/*; report/*; Android Progress/Wellness tests
107,Measurement Trend Calculator,Progress / reports,P1,PARTIAL,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,IMPORT_AND_CLOSE_GAP,services/backend/src/progress/progress.ts; report/; apps/android/.../feature/progress/,buildProgressEnvelope / reportSnapshotFromProgress,services/backend/src/tests/progress/*; report/*; Android Progress/Wellness tests
108,Weekly Report Generator,Progress / reports,P1,IMPLEMENTED,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,IMPORT,services/backend/src/progress/progress.ts; report/; apps/android/.../feature/progress/,buildProgressEnvelope / reportSnapshotFromProgress,services/backend/src/tests/progress/*; report/*; Android Progress/Wellness tests
109,Monthly Report Generator,Progress / reports,P1,IMPLEMENTED,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,IMPORT,services/backend/src/progress/progress.ts; report/; apps/android/.../feature/progress/,buildProgressEnvelope / reportSnapshotFromProgress,services/backend/src/tests/progress/*; report/*; Android Progress/Wellness tests
110,Data Quality / Anomaly Detector,Progress / reports,P1,PARTIAL,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,IMPORT_AND_CLOSE_GAP,services/backend/src/progress/progress.ts; report/; apps/android/.../feature/progress/,buildProgressEnvelope / reportSnapshotFromProgress,services/backend/src/tests/progress/*; report/*; Android Progress/Wellness tests
111,Weekly Check-In Question Selector,Progress / reports,P1,NOT_FOUND,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,MISSING_IMPLEMENT,No reliable source evidence,—,No direct test
112,Logging Break Detector,Progress / reports,P1,NOT_FOUND,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,MISSING_IMPLEMENT,No reliable source evidence,—,No direct test
113,Missed Workout Reason Classifier,Progress / reports,P1,PARTIAL,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,IMPORT_AND_CLOSE_GAP,services/backend/src/progress/progress.ts; report/; apps/android/.../feature/progress/,buildProgressEnvelope / reportSnapshotFromProgress,services/backend/src/tests/progress/*; report/*; Android Progress/Wellness tests
114,Schedule Friction Detector,Progress / reports,P1,NOT_FOUND,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,MISSING_IMPLEMENT,No reliable source evidence,—,No direct test
115,Adherence Pattern Analyzer,Progress / reports,P1,NOT_FOUND,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,MISSING_IMPLEMENT,No reliable source evidence,—,No direct test
116,Watch Peer / Account Verification Algorithm,Watch / health / sync,P0,IMPLEMENTED,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,IMPORT,services/backend/src/sync/; device/; health/; apps/android/.../datalayer/; wear/,sync reconciler / device trust / Wearable listeners,services/backend/src/tests/sync*; Android datalayer tests; Wear tests
117,Canonical Workout Delivery Revision Selector,Watch / health / sync,P0,IMPLEMENTED,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,IMPORT,services/backend/src/sync/; device/; health/; apps/android/.../datalayer/; wear/,sync reconciler / device trust / Wearable listeners,services/backend/src/tests/sync*; Android datalayer tests; Wear tests
118,Offline Workout Journal Ordering Algorithm,Watch / health / sync,P0,IMPLEMENTED,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,IMPORT,services/backend/src/sync/; device/; health/; apps/android/.../datalayer/; wear/,sync reconciler / device trust / Wearable listeners,services/backend/src/tests/sync*; Android datalayer tests; Wear tests
119,Sync Idempotency / Deduplication Algorithm,Watch / health / sync,P0,IMPLEMENTED,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,IMPORT,services/backend/src/sync/; device/; health/; apps/android/.../datalayer/; wear/,sync reconciler / device trust / Wearable listeners,services/backend/src/tests/sync*; Android datalayer tests; Wear tests
120,Stale Event Rejection Algorithm,Watch / health / sync,P0,IMPLEMENTED,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,IMPORT,services/backend/src/sync/; device/; health/; apps/android/.../datalayer/; wear/,sync reconciler / device trust / Wearable listeners,services/backend/src/tests/sync*; Android datalayer tests; Wear tests
121,Device / User Ownership Gate,Watch / health / sync,P0,IMPLEMENTED,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,IMPORT,services/backend/src/sync/; device/; health/; apps/android/.../datalayer/; wear/,sync reconciler / device trust / Wearable listeners,services/backend/src/tests/sync*; Android datalayer tests; Wear tests
122,Canonical Sync Reconciler,Watch / health / sync,P0,IMPLEMENTED,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,IMPORT,services/backend/src/sync/; device/; health/; apps/android/.../datalayer/; wear/,sync reconciler / device trust / Wearable listeners,services/backend/src/tests/sync*; Android datalayer tests; Wear tests
123,Sync Receipt / ACK State Resolver,Watch / health / sync,P0,IMPLEMENTED,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,IMPORT,services/backend/src/sync/; device/; health/; apps/android/.../datalayer/; wear/,sync reconciler / device trust / Wearable listeners,services/backend/src/tests/sync*; Android datalayer tests; Wear tests
124,Health Data Normalizer,Watch / health / sync,P0,IMPLEMENTED,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,IMPORT,services/backend/src/sync/; device/; health/; apps/android/.../datalayer/; wear/,sync reconciler / device trust / Wearable listeners,services/backend/src/tests/sync*; Android datalayer tests; Wear tests
125,Health Source Dedupe / Priority Resolver,Watch / health / sync,P0,PARTIAL,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,IMPORT_AND_CLOSE_GAP,services/backend/src/sync/; device/; health/; apps/android/.../datalayer/; wear/,sync reconciler / device trust / Wearable listeners,services/backend/src/tests/sync*; Android datalayer tests; Wear tests
126,Steps / Activity Aggregator,Watch / health / sync,P0,IMPLEMENTED,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,IMPORT,services/backend/src/sync/; device/; health/; apps/android/.../datalayer/; wear/,sync reconciler / device trust / Wearable listeners,services/backend/src/tests/sync*; Android datalayer tests; Wear tests
127,Sleep Summary Extractor,Watch / health / sync,P0,NOT_FOUND,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,MISSING_IMPLEMENT,No reliable source evidence,—,No direct test
128,Imported Workout Reconciler,Watch / health / sync,P0,PARTIAL,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,IMPORT_AND_CLOSE_GAP,services/backend/src/sync/; device/; health/; apps/android/.../datalayer/; wear/,sync reconciler / device trust / Wearable listeners,services/backend/src/tests/sync*; Android datalayer tests; Wear tests
129,Recovery Signal Extractor,Watch / health / sync,P0,PARTIAL,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,IMPORT_AND_CLOSE_GAP,services/backend/src/sync/; device/; health/; apps/android/.../datalayer/; wear/,sync reconciler / device trust / Wearable listeners,services/backend/src/tests/sync*; Android datalayer tests; Wear tests
130,Offline-to-Online State Merge Algorithm,Watch / health / sync,P0,IMPLEMENTED,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,IMPORT,services/backend/src/sync/; device/; health/; apps/android/.../datalayer/; wear/,sync reconciler / device trust / Wearable listeners,services/backend/src/tests/sync*; Android datalayer tests; Wear tests
131,AI Provider / Model Router,AI orchestration,P0,IMPLEMENTED,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,IMPORT,services/backend/src/nutrition/vision/providers/; nutrition/validation/; nutrition/algorithm/,configured vision router / pipeline validation,services/backend/src/tests/nutrition/*provider*; schema/validation tests
132,Structured Output Validator,AI orchestration,P0,IMPLEMENTED,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,IMPORT,services/backend/src/nutrition/vision/providers/; nutrition/validation/; nutrition/algorithm/,configured vision router / pipeline validation,services/backend/src/tests/nutrition/*provider*; schema/validation tests
133,Provider Fallback / Abstention Engine,AI orchestration,P0,IMPLEMENTED,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,IMPORT,services/backend/src/nutrition/vision/providers/; nutrition/validation/; nutrition/algorithm/,configured vision router / pipeline validation,services/backend/src/tests/nutrition/*provider*; schema/validation tests
134,Evidence Grounding Checker,AI orchestration,P0,PARTIAL,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,IMPORT_AND_CLOSE_GAP,services/backend/src/nutrition/vision/providers/; nutrition/validation/; nutrition/algorithm/,configured vision router / pipeline validation,services/backend/src/tests/nutrition/*provider*; schema/validation tests
135,AI Cost / Token Policy Router,AI orchestration,P0,PARTIAL,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,IMPORT_AND_CLOSE_GAP,services/backend/src/nutrition/vision/providers/; nutrition/validation/; nutrition/algorithm/,configured vision router / pipeline validation,services/backend/src/tests/nutrition/*provider*; schema/validation tests
136,Explanation / Reason-Code Generator,AI orchestration,P0,IMPLEMENTED,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,IMPORT,services/backend/src/nutrition/vision/providers/; nutrition/validation/; nutrition/algorithm/,configured vision router / pipeline validation,services/backend/src/tests/nutrition/*provider*; schema/validation tests
137,Expert Specialty Matcher,Human expert network,FUTURE,FUTURE,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,FUTURE_OUT_OF_SCOPE,No current runtime; future-scope domain,—,—
138,Expert Credential / Scope Validator,Human expert network,FUTURE,FUTURE,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,FUTURE_OUT_OF_SCOPE,No current runtime; future-scope domain,—,—
139,User Data Scope Resolver,Human expert network,FUTURE,FUTURE,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,FUTURE_OUT_OF_SCOPE,No current runtime; future-scope domain,—,—
140,Expert Report Generator,Human expert network,FUTURE,FUTURE,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,FUTURE_OUT_OF_SCOPE,No current runtime; future-scope domain,—,—
141,Expert Proposal Scope Validator,Human expert network,FUTURE,FUTURE,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,FUTURE_OUT_OF_SCOPE,No current runtime; future-scope domain,—,—
142,Proposal Conflict Detector,Human expert network,FUTURE,FUTURE,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,FUTURE_OUT_OF_SCOPE,No current runtime; future-scope domain,—,—
143,Multi-Expert Conflict Resolver,Human expert network,FUTURE,FUTURE,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,FUTURE_OUT_OF_SCOPE,No current runtime; future-scope domain,—,—
144,Expert Proposal Canonicalization Engine,Human expert network,FUTURE,FUTURE,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,FUTURE_OUT_OF_SCOPE,No current runtime; future-scope domain,—,—
145,Creator-vs-Professional Content Classifier,Human expert network,FUTURE,FUTURE,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,FUTURE_OUT_OF_SCOPE,No current runtime; future-scope domain,—,—
146,Sponsorship / Conflict-of-Interest Labeler,Human expert network,FUTURE,FUTURE,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,FUTURE_OUT_OF_SCOPE,No current runtime; future-scope domain,—,—
147,Expert Alert Triage Algorithm,Human expert network,FUTURE,FUTURE,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,FUTURE_OUT_OF_SCOPE,No current runtime; future-scope domain,—,—
148,Marketplace Quality / Reputation Ranker,Human expert network,FUTURE,FUTURE,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,FUTURE_OUT_OF_SCOPE,No current runtime; future-scope domain,—,—
149,Moderation / Risk Triage Algorithm,Human expert network,FUTURE,FUTURE,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,FUTURE_OUT_OF_SCOPE,No current runtime; future-scope domain,—,—
150,Clinical-Lane Routing Gate,Human expert network,FUTURE,FUTURE,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,FUTURE_OUT_OF_SCOPE,No current runtime; future-scope domain,—,—
151,Consent Expiry / Revocation Resolver,Human expert network,FUTURE,FUTURE,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,FUTURE_OUT_OF_SCOPE,No current runtime; future-scope domain,—,—
152,Dynamic Energy Expenditure Estimator,Competitor gap,P1,PARTIAL,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,IMPORT_AND_CLOSE_GAP,services/backend/src/diet-intelligence/; services/backend/src/foundation/target-engine.ts; services/backend/src/progress/; algorithms/training/src/,target/recommendation/progress/training composition,—
153,Partial Logging Quality Classifier,Competitor gap,P1,PARTIAL,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,IMPORT_AND_CLOSE_GAP,services/backend/src/diet-intelligence/; services/backend/src/foundation/target-engine.ts; services/backend/src/progress/; algorithms/training/src/,target/recommendation/progress/training composition,—
154,Weekly Target Adjustment Smoother,Competitor gap,P1,PARTIAL,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,IMPORT_AND_CLOSE_GAP,services/backend/src/diet-intelligence/; services/backend/src/foundation/target-engine.ts; services/backend/src/progress/; algorithms/training/src/,target/recommendation/progress/training composition,—
155,Full Nutrient Adequacy Analyzer,Competitor gap,P1,NOT_FOUND,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,MISSING_IMPLEMENT,No reliable source evidence,—,No direct test
156,Food Nutrient Contribution Ranker,Competitor gap,P1,PARTIAL,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,IMPORT_AND_CLOSE_GAP,services/backend/src/diet-intelligence/; services/backend/src/foundation/target-engine.ts; services/backend/src/progress/; algorithms/training/src/,target/recommendation/progress/training composition,—
157,Cross-Metric Correlation Analyzer,Competitor gap,P1,NOT_FOUND,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,MISSING_IMPLEMENT,No reliable source evidence,—,No direct test
158,Recipe Recommendation Ranker,Competitor gap,P1,IMPLEMENTED,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,IMPORT,services/backend/src/diet-intelligence/; services/backend/src/foundation/target-engine.ts; services/backend/src/progress/; algorithms/training/src/,target/recommendation/progress/training composition,—
159,Meal Plan Swap / Replan Optimizer,Competitor gap,P2,NOT_FOUND,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,MISSING_IMPLEMENT,No reliable source evidence,—,No direct test
160,Household Meal Portion Planner,Competitor gap,P2,NOT_FOUND,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,MISSING_IMPLEMENT,No reliable source evidence,—,No direct test
161,Nutrition Label Extraction / Resolver,Competitor gap,P2,PARTIAL,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,IMPORT_AND_CLOSE_GAP,services/backend/src/diet-intelligence/; services/backend/src/foundation/target-engine.ts; services/backend/src/progress/; algorithms/training/src/,target/recommendation/progress/training composition,—
162,Restaurant / Menu Candidate Resolver,Competitor gap,P2,NOT_FOUND,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,MISSING_IMPLEMENT,No reliable source evidence,—,No direct test
163,Estimated Strength / 1RM Model,Competitor gap,P2,NOT_FOUND,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,MISSING_IMPLEMENT,No reliable source evidence,—,No direct test
164,Training Volume Balance Optimizer,Competitor gap,P2,NOT_FOUND,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,MISSING_IMPLEMENT,No reliable source evidence,—,No direct test
165,Superset / Circuit Composer,Competitor gap,P2,NOT_FOUND,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,MISSING_IMPLEMENT,No reliable source evidence,—,No direct test
166,Workout Refresh Trigger Orchestrator,Competitor gap,P2,PARTIAL,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,IMPORT_AND_CLOSE_GAP,services/backend/src/diet-intelligence/; services/backend/src/foundation/target-engine.ts; services/backend/src/progress/; algorithms/training/src/,target/recommendation/progress/training composition,—
167,Behavior Intervention Ranker,Competitor gap,P2,PARTIAL,NO_DEDICATED_DOMAIN_IMPLEMENTATION_EVIDENCED,IMPORT_AND_CLOSE_GAP,services/backend/src/diet-intelligence/; services/backend/src/foundation/target-engine.ts; services/backend/src/progress/; algorithms/training/src/,target/recommendation/progress/training composition,—
